"reg_adm","annee","TENURE","tot","superficie_km2","poss_ha","annee.y","ID"
3,2012,"PR",2922800,14222,2.05512586134158,2012,"PR_3"
3,2012,"PU",762000,12355,0.616754350465399,2012,"PU_3"
3,2013,"PR",2922800,14222,2.05512586134158,2013,"PR_3"
3,2013,"PU",762000,12355,0.616754350465399,2013,"PU_3"
3,2014,"PR",3405910,14222,2.3948178877795,2014,"PR_3"
3,2014,"PU",837700,12355,0.678025091056253,2014,"PU_3"
4,1988,"PR",1010000,7810,1.2932138284251,1988,"PR_4"
4,1988,"PU",4041000,30837,1.31043875863411,1988,"PU_4"
4,1989,"PR",1055000,8429,1.25163127298612,1989,"PR_4"
4,1989,"PU",3825860,26359,1.45144352972419,1989,"PU_4"
4,1990,"PR",1055000,8429,1.25163127298612,1990,"PR_4"
4,1990,"PU",3825860,26359,1.45144352972419,1990,"PU_4"
4,1991,"PR",1467100,8429,1.74053861668051,1991,"PR_4"
4,1991,"PU",3823600,26359,1.45058613756212,1991,"PU_4"
4,1992,"PR",1467100,8429,1.74053861668051,1992,"PR_4"
4,1992,"PU",3823600,26186,1.46016955625143,1992,"PU_4"
4,1993,"PR",1467100,8462,1.73375088631529,1993,"PR_4"
4,1993,"PU",3830344,26186,1.46274497823264,1993,"PU_4"
4,1994,"PR",1467100,8462,1.73375088631529,1994,"PR_4"
4,1994,"PU",3830344,26186,1.46274497823264,1994,"PU_4"
4,1995,"PR",1289903,8462,1.52434767194517,1995,"PR_4"
4,1995,"PU",3808470,26186,1.45439165966547,1995,"PU_4"
4,1996,"PR",1289903,8462,1.52434767194517,1996,"PR_4"
4,1996,"PU",3808470,26186,1.45439165966547,1996,"PU_4"
4,1997,"PR",1289903,8462,1.52434767194517,1997,"PR_4"
4,1997,"PU",3808470,26186,1.45439165966547,1997,"PU_4"
4,1998,"PR",1289903,8462,1.52434767194517,1998,"PR_4"
4,1998,"PU",3808470,26186,1.45439165966547,1998,"PU_4"
4,1999,"PR",1323700,8467,1.56336364710051,1999,"PR_4"
4,1999,"PU",4132700,26191,1.57790844183116,1999,"PU_4"
4,2000,"PR",1373500,8684,1.58164440350069,2000,"PR_4"
4,2000,"PU",4092957,26181,1.56333104159505,2000,"PU_4"
4,2001,"PR",1263000,8684,1.45439889451866,2001,"PR_4"
4,2001,"PU",4202533,26181,1.60518429395363,2001,"PU_4"
4,2002,"PR",1226500,8684,1.41236757254721,2002,"PR_4"
4,2002,"PU",4175251,26181,1.59476375997861,2002,"PU_4"
4,2003,"PR",1226500,8740,1.4033180778032,2003,"PR_4"
4,2003,"PU",4175251,26108,1.59922284357285,2003,"PU_4"
4,2004,"PR",1226500,8740,1.4033180778032,2004,"PR_4"
4,2004,"PU",4175251,26108,1.59922284357285,2004,"PU_4"
4,2005,"PR",1226500,8740,1.4033180778032,2005,"PR_4"
4,2005,"PU",4175251,26108,1.59922284357285,2005,"PU_4"
4,2006,"PR",1756500,8740,2.00972540045767,2006,"PR_4"
4,2006,"PU",3567016,26108,1.36625402175578,2006,"PU_4"
4,2007,"PR",1756500,8740,2.00972540045767,2007,"PR_4"
4,2007,"PU",3567016,26108,1.36625402175578,2007,"PU_4"
4,2008,"PR",1756500,8740,2.00972540045767,2008,"PR_4"
4,2008,"PU",3567016,26108,1.36625402175578,2008,"PU_4"
4,2009,"PR",1226500,8740,1.4033180778032,2009,"PR_4"
4,2009,"PU",3811119,26108,1.45975141719013,2009,"PU_4"
4,2010,"PR",1226500,8740,1.4033180778032,2010,"PR_4"
4,2010,"PU",3913800,26108,1.49908074153516,2010,"PU_4"
4,2011,"PR",1226500,8740,1.4033180778032,2011,"PR_4"
4,2011,"PU",3913800,26108,1.49908074153516,2011,"PU_4"
