TrueTau1;EstTau1;UncorrVar1;CorrVar1;Samp1;Model1;TrueTau2;EstTau2;UncorrVar2;CorrVar2;Samp2;Model2;TrueTau3;EstTau3;UncorrVar3;CorrVar3;Samp3;Model3;TrueTau4;EstTau4;UncorrVar4;CorrVar4;Samp4;Model4;TrueTau5;EstTau5;UncorrVar5;CorrVar5;Samp5;Model5;TrueTau6;EstTau6;UncorrVar6;CorrVar6;Samp6;Model6;TrueTau7;EstTau7;UncorrVar7;CorrVar7;Samp7;Model7
88596.31605497992;81794.19727840851;3.6094216635072835E7;3.608114537038455E7;3.6051425684012555E7;29719.686371997;7212.922634882881;6758.152256408163;264832.91837531474;262458.51170826453;248013.58055615675;14444.931152107776;4679.146193433076;4374.057077445459;178356.03607933002;146084.63920908957;108269.92125232064;37814.717956768916;1164.5613051669652;1261.472591914847;66214.38817699713;49851.365304190615;8377.13515694683;41474.23014724378;863.5249300436402;692.7071605618388;14876.498439031524;12832.408476938506;3711.5431129607714;9120.865363977735;408.18560101421707;374.6098062752929;14548.366271689876;8447.607172562524;1118.3666044849278;7329.240568077596;97.5046052249652;55.30562021072198;546.7707912337876;221.24194938497465;48.39805968347473;172.84388970149993
88597.54315922681;93876.64837158327;3.4912111879231066E7;3.489181657472864E7;3.485239375109353E7;39422.82363510877;7221.52928842337;7297.112688760514;240071.4148034709;234302.47298978566;215867.50505829422;18434.96793149144;4694.036398912337;4745.906002748287;140123.57455672388;132470.79156984395;91390.32208486147;41080.46948498246;1158.5827576496963;1130.0568518710747;63913.44300168773;37358.585212812206;6209.093706868553;31149.49150594365;879.7765142229116;822.0483248565826;22729.860497741523;16772.74060847713;5407.898133137155;11364.842475339972;395.7273742578866;445.8994768406004;25057.560917693336;11445.691209014189;1645.8768205067527;9799.814388507437;93.40624338050223;153.20203244396384;1210.1022456574642;1050.7938914141914;263.4188286058193;787.3750628083723
88565.3897341996;83792.75352441384;4.177574980052654E7;4.1766213512552716E7;4.1730718035563916E7;35495.47698879987;7247.406446231388;6527.462217212002;286129.0855847313;278121.3268428572;262338.0357529879;15783.291089869279;4725.41949626044;4338.823882011252;169438.14054073312;139853.09519545856;113950.26533723257;25902.829858225974;1167.8820872615456;957.358039321606;51824.08948035914;25509.282674803115;6660.399874969932;18848.882799833184;878.841540665501;760.8768378035448;21172.186901546676;16892.627910874937;5634.879476904221;11257.748433970715;382.5892737623511;363.55937448345367;14852.576150182125;10200.264873800763;1285.5943629520139;8914.67051084875;92.674048281561;106.84408359213846;899.2534878617748;570.8695807790718;181.5195106652214;389.3500701138504
88577.52335343043;76227.74909028875;3.070221870911579E7;3.069245956490525E7;3.06612370505158E7;31222.514389447868;7214.8632127627725;6175.088079837934;222030.77777752714;211891.22512135;198899.46676609368;12991.758355256316;4694.179402634048;4251.291391513294;134162.28915085996;113257.50616326316;95412.76649168893;17844.73967157422;1153.8361834018292;869.1099343214355;71644.19014683722;19211.546675324076;5430.253077795383;13781.293597528693;872.1752964565652;613.821477736732;11684.338678041899;8777.308963766984;2828.78710782186;5948.521855945123;401.68636358332526;357.1644469211837;25859.72097111286;7101.0927236232;1031.9019703856832;6069.190753237517;92.98596668703888;83.70082934529037;694.2331245830437;410.8373583298285;121.36713475273558;289.4702235770929
88572.68568356268;95822.97460921212;3.875816650720126E7;3.874343643310798E7;3.8703785784120865E7;39650.64898711443;7192.983222571869;7880.458441943066;277697.31190503616;273395.32032863953;253550.23155266477;19845.088775974757;4667.961201095156;5265.986983022527;176617.05031337152;157506.78876741344;109721.61731281767;47785.171454595766;1152.5815325196043;1247.9090973703878;72264.92873041389;51425.352145747354;7450.675328771224;43974.676816976134;859.4003631912002;999.0187030762603;30081.910279453383;24827.406031323073;6759.861313353513;18067.544717969562;416.626461125695;273.04154731907556;21340.667162842343;16232.558424590978;541.3527734229596;15691.205651168018;96.41366464020086;94.50211115481218;718.3752425095674;492.72266549565904;96.45939505963642;396.2632704360226
88623.11446160963;92576.75306396521;4.181494907707433E7;4.1806769332637675E7;4.176347514977291E7;43294.18286476284;7191.957261644289;7759.131025896944;320984.1015076241;316782.1383474491;299708.9420306503;17073.1963167988;4651.069493397629;5348.484192539771;186985.95221994666;174213.99996912794;136058.770973744;38155.22899538395;1161.6424361156942;1183.528294285032;55712.72685141048;39865.92104282782;8827.3637444259;31038.55729840192;883.8292815584322;761.8888956426888;32269.207148983318;17188.35621178381;5287.167451823129;11901.188759960678;398.8509090077971;353.88726329123085;22317.92645645105;11224.6750870579;1260.1993825166885;9964.475704541212;96.56514156475498;111.34238013821968;833.9387432395899;657.0195883839503;125.62378448503637;531.395803898914
88612.58760917047;83677.1223514224;4.33299764880696E7;4.331604551093637E7;4.3284056084567286E7;31989.426369085908;7210.09627261575;6862.99006882504;322293.5451122278;312366.1250935083;296727.375465513;15638.749627995305;4648.685234799778;4399.497628085909;170443.39797269573;148926.20771853707;118572.24292720741;30353.96479132968;1182.745678852598;1314.0730248951445;65808.85067679668;53413.254294031896;11651.953409559257;41761.30088447264;884.2701240682408;876.2114498449935;36750.57654192825;30887.692225320243;8119.170983047192;22768.52124227305;400.89460097137646;198.18004992886188;20221.457436481665;15624.678205344057;434.7844568374616;15189.893748506594;93.5006339238311;75.02791607012317;582.7599237680073;324.4487669205072;82.41446283237812;242.03430408812906
88551.37943765218;87622.75905876044;4.738681132359645E7;4.736690231084444E7;4.731889098129429E7;48011.32955014706;7216.723317212547;7287.513724163816;349976.261310353;343842.9872740837;326462.7507024597;17380.236571624002;4656.285462711821;4863.6794488548085;293658.3693924018;192312.66849148367;138175.4858966673;54137.182594816375;1194.5494851336523;1093.309461901132;91249.88780833635;47587.50619089627;8889.677205477394;38697.82898541888;871.9451130126827;755.5108130600895;15798.313086331133;13322.567611490706;5182.7857532134385;8139.781858277267;400.05040787754103;442.5970786771877;33648.03372470351;10455.45133261276;1855.931189758915;8599.520142853844;93.8928484768086;132.41692167060435;1598.3469212430923;784.4631361439324;198.40421418426465;586.0589219596677
88588.69775595995;86681.58164141611;4.92046689636984E7;4.919985261318186E7;4.915992952700467E7;39923.08617719263;7216.101441366921;7019.6509666019265;360758.2403886601;339035.5420379329;321198.8199743953;17836.72206353763;4685.7064378695095;4725.829241838356;189423.90758184806;174909.47193511555;139483.73840655113;35425.73352856442;1166.509588456636;1238.264591543097;71890.54883144403;48043.676049008456;11515.979851884778;36527.696197123674;883.341541446984;639.8236547616253;19019.92318252456;13450.451706828151;4428.7305627627375;9021.721144065414;388.49287627454527;306.5481338802056;17893.834476887136;8237.897004923881;1038.0832841541828;7199.813720769699;92.05099731923218;109.18534457862889;883.8545930648459;592.1970644930196;161.37931843695102;430.81774605606864
88574.09335956266;79132.57019200646;4.128498890291479E7;4.1272722603537515E7;4.123580467134329E7;36917.93219422549;7253.7871610900975;6340.551516184026;303021.3926389048;284374.86889414565;270863.40004078334;13511.468853362312;4690.132105622564;4051.3288274442543;174891.49943633578;146204.54363295904;106937.35718818664;39267.18644477241;1179.3458831877238;1030.1021755729175;60894.04445691889;41497.319886900594;6993.158052599131;34504.16183430146;871.5912248687252;774.6422845448246;24076.26323192357;16860.53149763556;6439.825569506788;10420.705928128771;414.4816383511882;397.2023660288584;16368.956451712074;10179.315912830301;1760.3590125107983;8418.956900319503;98.23630905990613;87.27586259317836;774.9540197152992;391.6569593581259;114.1199017009164;277.5370576572095
88595.99789047835;91373.0965108204;3.5709257080399506E7;3.565360207358333E7;3.560721388148122E7;46388.192102104425;7210.7159624397445;7585.378613335927;272038.8704754843;260168.9608746569;242602.32537715675;17566.63549750016;4625.216265792682;4751.9085194293475;180441.51688563125;149695.86723459375;91211.19779541166;58484.66943918209;1192.7515761955417;1362.8627766422153;75832.7799496064;62780.696415988874;7958.672473959249;54822.02394202963;881.9311919469035;940.0286402075004;31353.17305513635;23461.801047294313;7029.635690392488;16432.165356901824;413.8624769478565;445.4855225536226;24265.388278245417;16325.939850206123;1701.9714310117752;14623.968419194349;96.95445155673937;85.09315450324162;671.3038839402487;349.333016944359;87.87931073589277;261.4537062084662
88588.59066735937;85451.45286937014;4.041409144949018E7;4.040125262780065E7;4.036152403645338E7;39728.591347269714;7234.443603947972;6918.851359845236;288594.71481775976;275986.1713291434;259332.6601817474;16653.511147396;4718.048704277524;4512.591319808807;211113.53925660957;142689.58805572806;111733.93094445002;30955.657111278037;1144.0422804187547;982.3443778377483;68731.98682265074;29418.450209444607;7055.061271783846;22363.388937660762;891.2081715734396;838.6445091351978;18925.152845433648;15114.053017057087;5188.208162489793;9925.844854567295;390.5184229474946;503.91414259065783;19438.742696045723;9837.156856388588;1938.5568597465672;7898.59999664202;90.62602473078145;81.35701047282203;972.2060110064158;400.39264234120213;85.88197313358802;314.5106692076141
88573.93112270713;100784.22150408723;3.658516814082931E7;3.657839354584356E7;3.652398579445599E7;54407.75138756633;7231.6606387630245;8238.119103398596;271219.50574176887;267381.69784431695;246649.7288688958;20731.968975421158;4663.034101598146;5471.018873040659;181344.63136299734;165451.0703555399;105507.36042037648;59943.709935163424;1198.9866034228608;1295.961101124708;73501.3089492365;57819.710289505194;6923.183750495619;50896.526539009574;884.878155778212;997.4052335931513;31137.233010035146;22815.606609236587;6640.19939679898;16175.407212437609;394.70613697892287;373.7503859309084;22026.950018107593;16160.868229010039;974.0203626089777;15186.847866401062;90.05564098487696;99.98350970917488;726.388263620449;516.5284057876926;86.9994413354341;429.5289644522585
88608.66773064023;94455.81881802934;3.381726222505853E7;3.3776115171111606E7;3.372649868542376E7;49616.485687844455;7216.0435742457685;7898.961823864398;279423.52991519903;267689.8226296898;247208.38054866926;20481.442081020563;4647.677488101074;5153.853260275957;158073.68839609306;138753.93538898113;95519.97789287989;43233.957496101255;1195.0692221258985;1409.0934495945844;73177.41628834199;59595.7596232799;10279.85794127393;49315.90168200597;885.4834726780656;927.8563336392017;35547.404291001745;24344.428263137717;7312.058670435244;17032.369592702475;391.7751790591319;314.3743275957059;21795.77705946071;14714.948985058374;886.6782972066204;13828.270687851753;96.03821228161017;93.78445275894234;754.4436679938827;481.6651016321324;76.6250820290808;405.04001960305163
88576.32060241688;99546.09662626474;4.344023541426412E7;4.342281355505773E7;4.337261712221272E7;50196.4328450039;7229.969853821009;8198.5267493116;336349.23699570267;330678.39298997476;311201.2782566695;19477.114733305236;4720.933483395541;5175.812366125216;189469.66863365629;158791.30493850904;110917.51270784212;47873.79223066692;1128.8781527088322;1450.0860406157153;80940.50925046581;65061.35007059995;10505.292013101931;54556.05805749801;886.254025453921;924.4374175282062;42220.21524450608;23013.445556574145;8066.023792659554;14947.42176391459;396.4766219894289;512.3026934318963;27992.510729122834;14552.058143584254;2591.1795158306604;11960.878627753593;97.42757027331122;135.88823161056357;1250.8263044729194;876.8850822298917;195.35077456540293;681.5343076644888
88588.41716966558;79581.72506762842;4.6679894471841015E7;4.667436352091222E7;4.664266837761635E7;31695.14329586923;7229.249931787053;6720.248600953944;357645.0236698245;353839.16537592275;341338.39194301685;12500.773432905902;4652.351629740269;4313.525575721835;188698.99462738453;174946.64997743882;135174.59608672306;39772.05389071576;1195.9436070928584;1149.6196732755109;54819.00114571626;43409.88804498641;10963.521006903677;32446.367038082728;902.2111104209271;722.7600443309501;19805.766649131947;13909.97569053001;6261.91933076601;7648.056359763999;382.1567125548163;418.9902419893976;12528.855330700893;8711.493948922152;2182.100957759898;6529.3929911622545;96.5868719781783;115.35306563624471;892.1193788830171;710.3754593313813;168.94773399041637;541.4277253409649
88569.6630820207;80734.0046034853;4.193681147990517E7;4.1909160412191674E7;4.187190814240603E7;37252.269785642624;7199.645615889514;6467.15664840741;301527.4629645476;292612.20780700125;278859.98650545394;13752.22130154731;4662.400385270603;4481.436692203842;260242.79137406382;161037.02078794522;134483.67782189915;26553.342966046068;1144.238688804002;874.5072330286546;68941.78285962566;25088.62076414805;5644.166932043855;19444.453832104195;886.2429952975208;644.411805558382;22191.028256037585;10963.009221154663;4596.464074145966;6366.545147008697;408.9242340937682;384.133150460679;29427.837247563948;7712.963458651607;1696.1480955254128;6016.815363126194;97.83931242363764;82.66776715585613;1121.7932743168772;365.75960151734955;112.54838942699824;253.2112120903513
88570.91957416857;77307.50540430525;3.0370465341108277E7;3.036040943149145E7;3.0328457813099742E7;31951.61839170754;7220.351084139062;6403.108952853343;234481.59319510232;223616.6068521006;211905.6722447535;11710.934607347095;4696.82252012345;4209.975194996247;170135.00629726125;115213.41072619116;91439.05941912175;23774.351307069403;1179.968438130137;1033.065853347826;49574.84412505063;27679.533647256354;6312.381498174509;21367.152149081845;871.9639475393368;678.3147780254012;12435.052974272312;11299.573071771523;4536.390640048567;6763.1824317229575;377.32519832991534;384.93595113265354;20575.024681401483;8436.94137881136;1521.7085273508683;6915.2328514604915;94.27098001623487;96.81717535122375;1076.0587455844689;476.29681333295514;115.97582734555921;360.32098598739594
